,Symbol,Quantity,Date Acquired,Cost,Rate Acquired,Converted Cost,Date Sold,Sales,Rate Sold,Converted Sales,Gain&Loss
1,BNTX,5,2020-07-16,379.6,107.29,40727.28,2020-07-17,404.14,107.0,43242.98,2515.7
2,BNTX,3,2020-07-23,263.1,106.84,28109.6,2020-11-09,301.73,105.14,31723.89,3614.29
3,BNTX,1,2020-07-31,86.03,105.84,9105.42,2020-11-09,100.58,105.14,10574.98,1469.56
4,BNTX,3,2020-09-09,185.97,106.24,19757.45,2020-11-09,301.73,105.14,31723.89,11966.44
5,BNTX,5,2020-09-15,340.37,105.4,35875.0,2020-11-09,502.89,105.14,52873.85,16998.85
6,BRK.B,1,2020-04-03,176.47,108.43,19134.64,2020-11-09,220.7,105.14,23204.4,4069.76
7,BRK.B,1,2020-04-13,186.7,107.63,20094.52,2020-11-09,220.69,105.14,23203.35,3108.83
8,BRK.B,2,2020-06-09,393.82,107.8,42453.8,2020-11-09,441.39,105.14,46407.74,3953.94
9,BRK.B,2,2020-06-11,371.39,106.79,39660.74,2020-11-09,441.39,105.14,46407.74,6747.0
10,GDRX,5,2020-11-17,188.28,104.18,19615.01,2020-11-24,192.6,104.51,20128.63,513.62
11,GDRX,10,2020-11-17,378.2,104.18,39400.88,2020-11-24,385.21,104.51,40258.3,857.42
12,GDRX,5,2020-11-17,185.95,104.18,19372.27,2020-11-24,192.6,104.51,20128.63,756.36
13,GDRX,10,2020-11-17,373.15,104.18,38874.77,2020-11-24,385.21,104.51,40258.3,1383.53
14,GDRX,5,2020-11-18,172.18,103.9,17889.5,2020-11-24,192.6,104.51,20128.63,2239.13
15,MRNA,10,2020-05-26,609.49,107.5,65520.18,2020-05-27,500.28,107.81,53935.19,-11584.99
16,MRNA,1,2020-07-20,82.01,107.18,8789.83,2020-11-09,76.53,105.14,8046.36,-743.47
17,MRNA,1,2020-07-20,85.0,107.18,9110.3,2020-11-09,76.53,105.14,8046.36,-1063.94
18,MRNA,1,2020-07-21,81.27,106.83,8682.07,2020-11-09,76.53,105.14,8046.36,-635.71
19,MRNA,1,2020-07-23,82.24,106.84,8786.52,2020-11-09,76.53,105.14,8046.36,-740.16
20,MRNA,1,2020-07-23,79.28,106.84,8470.28,2020-11-09,76.53,105.14,8046.36,-423.92
21,MRNA,1,2020-07-23,80.8,106.84,8632.67,2020-11-09,76.53,105.14,8046.36,-586.31
22,MRNA,2,2020-07-24,138.81,106.14,14733.29,2020-11-09,153.06,105.14,16092.73,1359.44
23,MSFT,10,2020-05-13,1787.69,106.93,191157.69,2020-07-29,2024.77,105.05,212702.09,21544.4
24,MSFT,5,2020-05-13,894.34,106.93,95631.78,2020-07-29,1012.38,105.05,106350.52,10718.74
25,MSFT,3,2020-05-27,536.04,107.81,57790.47,2020-07-29,607.43,105.05,63810.52,6020.05
26,MSFT,2,2020-06-11,378.04,106.79,40370.89,2020-07-29,404.95,105.05,42540.0,2169.11
27,MSFT,1,2020-07-16,204.08,107.29,21895.74,2020-07-29,202.48,105.05,21270.52,-625.22
28,NVAX,20,2020-06-03,869.12,109.0,94734.08,2020-06-04,913.43,109.15,99700.88,4966.8
29,QQQ,10,2020-03-23,1695.78,110.81,187909.38,2020-11-16,2927.35,104.54,306025.17,118115.79
30,SSO,10,2020-06-11,1216.81,106.79,129943.14,2020-06-23,1287.56,106.42,137022.14,7079.0
31,SSO,10,2020-07-23,684.7,106.84,73153.35,2020-11-09,839.98,105.14,88315.5,15162.15
32,SSO,4,2020-07-24,268.46,106.14,28494.34,2020-11-09,335.99,105.14,35325.99,6831.65
33,SSO,1,2020-09-03,77.33,106.09,8203.94,2020-11-09,84.0,105.14,8831.76,627.82
34,SSO,2,2020-09-03,156.16,106.09,16567.01,2020-11-09,168.0,105.14,17663.52,1096.51
35,SSO,1,2020-09-04,74.49,106.25,7914.56,2020-11-09,83.99,105.14,8830.71,916.15
36,VGK,1,2020-07-23,53.75,106.84,5742.65,2020-11-09,55.83,105.14,5869.97,127.32
37,VNQ,5,2020-02-28,427.51,108.09,46209.56,2020-05-13,346.0,106.93,36997.78,-9211.78
38,VNQ,5,2020-03-05,455.95,106.26,48449.25,2020-05-13,345.99,106.93,36996.71,-11452.54
39,VNQ,5,2020-03-06,446.8,105.35,47070.38,2020-05-13,346.0,106.93,36997.78,-10072.6
40,VNQ,5,2020-03-09,424.52,103.08,43759.52,2020-05-13,345.99,106.93,36996.71,-6762.81
41,VNQ,1,2020-07-23,79.04,106.84,8444.63,2020-11-09,84.57,105.14,8891.69,447.06
42,VNQI,5,2020-02-28,266.1,108.09,28762.75,2020-05-12,221.95,107.17,23786.38,-4976.37
43,VNQI,5,2020-03-05,279.3,106.26,29678.42,2020-05-12,221.94,107.17,23785.31,-5893.11
44,VNQI,5,2020-03-06,274.88,105.35,28958.61,2020-05-12,221.95,107.17,23786.38,-5172.23
45,VNQI,5,2020-03-09,261.23,103.08,26927.59,2020-05-12,221.94,107.17,23785.31,-3142.28
46,VNQI,1,2020-07-23,47.72,106.84,5098.4,2020-11-09,51.72,105.14,5437.84,339.44
47,VOO,5,2020-01-29,1502.45,108.99,163752.03,2020-03-13,1173.57,107.93,126663.41,-37088.62
48,VOO,5,2020-01-29,1502.45,108.99,163752.03,2020-03-23,1014.14,110.81,112376.85,-51375.18
49,VOO,9,2020-01-30,2683.98,108.89,292258.58,2020-03-23,1825.44,110.81,202277.01,-89981.57
50,VOO,1,2020-01-30,298.22,108.89,32473.18,2020-03-23,203.99,110.81,22604.13,-9869.05
51,VOO,1,2020-01-31,296.24,108.39,32109.45,2020-03-23,204.63,110.81,22675.05,-9434.4
52,VOO,9,2020-01-31,2666.16,108.39,288985.08,2020-03-23,1835.93,110.81,203439.4,-85545.68
54,VOO,5,2020-02-20,1541.2,111.97,172568.16,2020-03-23,1023.13,110.81,113373.04,-59195.12
55,VOO,4,2020-02-20,1231.0,111.97,137835.07,2020-03-23,818.51,110.81,90699.09,-47135.98
53,VOO,1,2020-02-20,307.75,111.97,34458.77,2020-05-19,271.14,107.82,29234.31,-5224.46
57,VOO,4,2020-02-24,1195.32,110.85,132501.22,2020-05-19,1084.58,107.82,116939.42,-15561.8
56,VOO,6,2020-02-24,1792.98,110.85,198751.83,2020-11-09,1982.11,105.14,208399.05,9647.22
58,VOO,8,2020-02-25,2310.57,110.29,254832.77,2020-11-09,2642.82,105.14,277866.09,23033.32
59,VTR,10,2020-06-09,434.69,107.8,46859.58,2020-06-09,439.29,107.8,47355.46,495.88
60,VWO,5,2020-01-30,212.14,108.89,23099.92,2020-02-20,216.6,111.97,24252.7,1152.78
61,VWO,5,2020-01-31,209.24,108.39,22679.52,2020-02-20,216.6,111.97,24252.7,1573.18
62,VWO,5,2020-02-10,215.53,109.77,23658.73,2020-02-20,216.6,111.97,24252.7,593.97
